,0
sensor_4_roll_mean,0.6211614413289284
sensor_11_roll_mean,0.11706642493085949
sensor_9_roll_mean,0.09289302495661068
sensor_20_roll_mean,0.015584574491221009
sensor_14_roll_mean,0.015352993512049953
sensor_7_roll_mean,0.011386065835735586
sensor_15_roll_mean,0.011111416162369924
sensor_21_roll_mean,0.010330675553742827
sensor_2_roll_mean,0.007025787237970064
sensor_9,0.006945496064466572
sensor_12_roll_mean,0.005585251759452598
sensor_3_roll_mean,0.005480027046324752
sensor_13_roll_mean,0.004602674785193365
sensor_14_roll_std,0.003921920624648402
sensor_8_roll_mean,0.0036907525691384662
sensor_7_roll_std,0.0032165342394281002
sensor_21_roll_std,0.002815880019623057
sensor_3_roll_std,0.0027894907045318846
sensor_8_roll_std,0.002780855830442357
sensor_11_roll_std,0.0027102464358338867
sensor_14_lag1,0.002591226649743396
sensor_13_roll_std,0.0025733861772705307
sensor_9_lag1,0.002500421778601861
sensor_12_roll_std,0.002459973715172226
sensor_4_roll_std,0.0024027319720591822
sensor_9_roll_std,0.0023519910275459134
sensor_20_roll_std,0.002323055825103447
sensor_14,0.0021816059429743684
sensor_2_roll_std,0.0021679936880365414
sensor_15_roll_std,0.0021107610698065916
sensor_7,0.0013397525693893816
sensor_12,0.0012605772811203377
sensor_3,0.001212509692662965
sensor_15,0.0011466028529760885
sensor_4,0.0010820108078923505
sensor_3_lag1,0.0010797169519550043
sensor_21,0.0010757371639164182
sensor_7_lag1,0.0010474045997280303
sensor_21_lag1,0.0010168673927175556
sensor_15_lag1,0.0010001415805358912
sensor_2,0.0009750466817477109
sensor_12_lag1,0.000968709796246459
sensor_2_lag1,0.0009517348185058178
sensor_4_lag1,0.0009478583693210667
sensor_11,0.0009171652703894469
sensor_11_lag1,0.0008973127422978653
sensor_20,0.0008511959615863001
sensor_14_diff,0.0008347335316767572
sensor_7_diff,0.000806531186700249
sensor_13,0.0007828174318466059
sensor_9_diff,0.0007746988472734591
sensor_20_lag1,0.0007396057667949926
sensor_12_diff,0.0007166625633392671
sensor_4_diff,0.0007101154294697996
sensor_3_diff,0.0007057159172211982
sensor_15_diff,0.0007035553996592993
sensor_8,0.0006946298831936782
sensor_21_diff,0.000687884143094146
sensor_13_lag1,0.0006432900560664328
sensor_2_diff,0.0006393278529093412
sensor_20_diff,0.0005704860296314457
sensor_11_diff,0.0005420597988635711
sensor_8_lag1,0.0005345721394451621
sensor_8_diff,0.0005257413508933051
sensor_13_diff,0.0005025462040473885
