Model,RMSE,MAE,R2
Linear Regression,19.9038940659275,16.0148433636538,0.7729010486152494
Random Forest,16.454689271447585,11.565914077907683,0.8447904653494545
Gradient Boosting,16.38623170611985,11.734598506673835,0.8460792364920687
XGBoost,16.26800087618336,11.546807287211406,0.8482923783164613
